iso3,quarter_t,gdp_current_usd,gdp_ppp_current_usd,total_exports_usd_k,total_imports_usd_k,population,exchange_rate,tariff_ahs_weighted,tariff_mfn_weighted
BRN,2024Q1,3841.2458750046208,6777.550466378685,,,0.46128366566229856,,,
BRN,2024Q2,3865.4922980549745,6818.027459707984,,,0.46223923063080197,,,
BRN,2024Q3,3889.5154690252966,6858.151304164552,,,0.46320672063245977,,,
BRN,2024Q4,3913.3153879151214,6897.921999748738,,,0.46418589570705676,,,
KHM,2005Q1,1482.9055697081412,6756.1164443542975,902944.3068336996,753085.9032613024,13.365021520035228,4075.30419921875,7.586689453125,16.336054687499995
KHM,2005Q2,1545.3619489719022,6948.019687673827,981393.8913894997,802442.1437688373,13.414429099832747,4087.94384765625,7.343037109375,16.5006640625
KHM,2005Q3,1604.4897301318806,7132.660556659765,1052412.7622778998,848024.5852537667,13.46402080855047,4096.04833984375,7.124775390625,16.606210937499995
KHM,2005Q4,1660.2889131880756,7310.039051312109,1116000.9194989009,889833.2277160934,13.513795655413741,4100.62548828125,6.943623046875,16.665820312500003
KHM,2006Q1,1715.3997379349357,7499.5748987695515,1201495.1624347838,942474.0067626289,13.5637526496479,4102.68310546875,6.811298828125,16.692617187499998
KHM,2006Q2,1778.1369001266467,7701.196904922173,1296200.073837704,999890.2936646612,13.613890800478295,4103.22900390625,6.739521484375,16.6997265625
KHM,2006Q3,1850.017507845856,7895.449745576312,1364431.1457014615,1044447.8384510148,13.6641697464528,4101.279347169123,6.7348717778954805,16.67712643678161
KHM,2006Q4,1931.041561092561,8082.333420731964,1406188.3780260514,1076146.6411216948,13.714455210087715,4088.6897764457026,6.771363215042373,16.527241379310343
KHM,2007Q1,2019.1088454173987,8303.763280164982,1434253.5937108248,1115196.9609986069,13.764969892062286,4071.6261899147125,6.8380011917372885,16.31206896551724
KHM,2007Q2,2110.5163322205844,8529.84392546468,1484260.1543427464,1161170.641579207,13.815987301217202,4058.5569927057372,6.928164945268362,16.11988505747126
KHM,2007Q3,2205.512721651594,8703.712307649854,1561242.9178159628,1193643.3452902958,13.867718000564961,4055.7135151719967,7.086405367231639,16.021795831951813
KHM,2007Q4,2304.0980137104234,8825.368426720495,1665201.8841304667,1212615.0721318908,13.919993043501611,4054.97179191224,7.523834745762712,15.96378139505968
KHM,2008Q1,2455.5281827573854,8997.867599473437,1854037.4575623013,1243414.2512784041,13.972857442935444,4054.462241827344,8.056800847457627,15.916571721651193
KHM,2008Q2,2600.6195256465326,9182.828085571397,2020455.026869025,1277578.8022011556,14.02641195977233,4054.2001450531425,8.44055790960452,15.863702289179928
KHM,2008Q3,2660.52421644457,9258.003698048968,2052906.8821533583,1285549.2554613762,14.080820877930787,4057.0142914111043,8.4634765625,15.783507211538462
KHM,2008Q4,2635.242255151512,9223.394436906208,1951393.023415316,1267325.6110590622,14.136328857477451,4075.8947005544214,8.231054687499999,15.653569711538461
KHM,2009Q1,2578.010665476253,9121.435362407181,1747875.458996497,1221906.6506003067,14.19249390510322,4103.687348113619,7.9189453125,15.516766826923078
