Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030439,"Fish fillets; fresh or chilled, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), and snakeheads (Channa spp.)",8,Weight in kilograms,1050589,,,,1050589,,7245539,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",8,Weight in kilograms,59,,,,59,,2,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030442,"Fish fillets; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",8,Weight in kilograms,18404,,,,18404,,175717,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030443,"Fish fillets; fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",8,Weight in kilograms,24359,,,,24359,,13397,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030445,"Fish fillets; fresh or chilled, swordfish (Xiphias gladius)",8,Weight in kilograms,652236,,,,652236,,361581,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030449,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",8,Weight in kilograms,1689221,,,,1689221,,7560982,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030454,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, swordfish (Xiphias gladius)",8,Weight in kilograms,4788,,,,4788,,19857,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030459,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5",8,Weight in kilograms,19141,,,,19141,,60643,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030461,"Fish fillets; frozen, tilapias (Oreochromis spp.)",8,Weight in kilograms,12101444,,,,12101444,,72235336,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,030462,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",8,Weight in kilograms,106158,,,,106158,,271001,,,0
