Country,Year,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
Singapore,2023,"$501,428,000,000",501.428 billion,1.07%,5789090,"$86,616",0.47%
Norway,2023,"$485,311,000,000",485.311 billion,0.48%,5519167,"$87,932",0.46%
Bangladesh,2023,"$437,415,000,000",437.415 billion,5.78%,171466990,"$2,551",0.41%
Philippines,2023,"$437,146,000,000",437.146 billion,5.55%,114891199,"$3,805",0.41%
Vietnam,2023,"$429,717,000,000",429.717 billion,5.05%,100352192,"$4,282",0.40%
Denmark,2023,"$407,092,000,000",407.092 billion,2.50%,5948136,"$68,440",0.38%
Iran,2023,"$404,626,000,000",404.626 billion,5.04%,90608707,"$4,466",0.38%
Malaysia,2023,"$399,705,000,000",399.705 billion,3.56%,35126298,"$11,379",0.38%
Egypt,2023,"$396,002,000,000",396.002 billion,3.76%,114535772,"$3,457",0.37%
Hong Kong,2023,"$380,812,000,000",380.812 billion,3.28%,7442734,"$51,166",0.36%
South Africa,2023,"$380,699,000,000",380.699 billion,0.70%,63212384,"$6,023",0.36%
Nigeria,2023,"$363,846,000,000",363.846 billion,2.86%,227882945,"$1,597",0.34%
Colombia,2023,"$363,494,000,000",363.494 billion,0.61%,52321152,"$6,947",0.34%
Romania,2023,"$350,776,000,000",350.776 billion,2.40%,19118479,"$18,347",0.33%
Czech Republic (Czechia),2023,"$343,208,000,000",343.208 billion,âˆ’0.09%,10809716,"$31,750",0.32%
Pakistan,2023,"$337,912,000,000",337.912 billion,âˆ’0.04%,247504495,"$1,365",0.32%
Chile,2023,"$335,533,000,000",335.533 billion,0.22%,19658835,"$17,068",0.32%
Finland,2023,"$295,532,000,000",295.532 billion,âˆ’1.16%,5601185,"$52,762",0.28%
Portugal,2023,"$289,114,000,000",289.114 billion,2.53%,10430738,"$27,718",0.27%
Peru,2023,"$267,603,000,000",267.603 billion,âˆ’0.55%,33845617,"$7,907",0.25%
Kazakhstan,2023,"$262,642,000,000",262.642 billion,5.10%,20330104,"$12,919",0.25%
New Zealand,2023,"$252,176,000,000",252.176 billion,0.73%,5172836,"$48,750",0.24%
Iraq,2023,"$250,843,000,000",250.843 billion,âˆ’2.94%,45074049,"$5,565",0.24%
Algeria,2023,"$247,626,000,000",247.626 billion,4.10%,46164219,"$5,364",0.23%
Greece,2023,"$243,498,000,000",243.498 billion,2.33%,10242908,"$23,772",0.23%
Qatar,2023,"$213,003,000,000",213.003 billion,1.19%,2979082,"$71,500",0.20%
Hungary,2023,"$212,389,000,000",212.389 billion,âˆ’0.91%,9686463,"$21,926",0.20%
